1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
C,C,C,P,C,B,P,P,B,G,R,B,Y,Y,B,P,O,O,G,R,R,G,Y,O,G,Y,O
C,C,C,P,C,B,P,P,B,G,R,B,Y,R,B,P,O,O,G,G,G,Y,R,O,Y,Y,O
C,C,C,P,C,B,P,P,B,G,R,B,R,R,B,P,O,Y,G,G,G,O,Y,Y,O,O,Y
C,C,C,P,C,B,P,P,B,R,O,B,R,Y,B,P,Y,G,R,O,G,O,O,G,Y,Y,G
C,C,C,P,C,B,P,P,B,R,R,B,O,O,B,P,Y,Y,R,G,G,O,Y,G,O,Y,G
C,C,C,P,C,B,P,P,B,R,R,B,Y,O,B,P,O,O,R,G,G,Y,O,G,Y,Y,G
C,C,C,P,C,B,P,P,B,R,R,B,R,Y,B,P,O,G,Y,Y,G,O,Y,G,O,O,G
C,C,C,P,C,B,P,P,G,O,O,B,O,Y,B,P,Y,G,R,O,B,R,R,G,Y,Y,G
C,C,C,P,C,B,P,P,G,O,R,B,O,Y,B,P,Y,G,R,R,B,O,O,G,Y,Y,G
C,C,C,P,C,B,P,P,G,Y,R,B,Y,Y,B,P,O,G,R,R,B,O,Y,G,O,O,G
C,C,C,P,C,B,P,P,G,Y,R,B,Y,R,B,P,O,G,Y,Y,B,O,R,G,O,O,G
C,C,C,P,C,B,P,P,G,Y,R,R,Y,B,B,P,O,G,Y,Y,R,O,B,G,O,O,G
C,C,C,P,C,B,P,P,G,R,O,B,R,Y,B,P,Y,G,R,O,B,O,O,G,Y,Y,G
C,C,C,P,C,B,P,P,G,R,R,B,R,Y,B,P,O,G,Y,Y,B,O,Y,G,O,O,G
C,C,C,P,C,B,P,P,R,O,Y,B,O,O,B,P,R,R,O,Y,B,G,Y,Y,G,G,G
C,C,C,P,C,B,P,P,R,Y,O,B,Y,O,B,P,R,R,Y,Y,B,G,O,O,G,G,G
C,C,C,P,C,B,G,G,G,P,Y,O,P,P,B,G,R,B,Y,Y,O,Y,O,O,R,R,B
C,C,C,P,C,B,G,G,G,P,Y,B,P,P,B,G,O,O,Y,Y,B,Y,R,O,R,R,O
C,C,C,P,C,B,G,G,G,P,Y,Y,P,P,B,G,O,B,R,R,Y,O,R,Y,O,O,B
C,C,C,P,C,B,G,G,G,P,R,B,P,P,B,O,Y,G,R,R,B,O,O,Y,O,Y,Y
C,C,C,P,C,B,G,G,G,P,R,B,P,P,B,G,O,Y,R,R,B,O,Y,Y,O,O,Y
C,C,C,P,C,B,G,R,R,P,Y,O,P,P,B,G,R,B,Y,Y,O,Y,O,O,G,G,B
C,C,C,P,C,B,R,R,B,Y,O,B,P,P,B,P,R,G,Y,O,O,Y,Y,O,G,G,G
C,C,C,P,C,Y,P,P,O,B,Y,Y,B,O,Y,P,O,O,G,G,G,B,R,G,B,R,R
C,C,C,P,C,Y,P,P,O,B,Y,Y,B,O,Y,P,O,O,R,R,G,B,R,G,B,G,G
C,C,C,P,C,Y,P,P,O,R,Y,Y,R,O,Y,P,O,O,R,B,B,B,B,G,G,G,G
C,C,C,P,C,Y,P,P,O,R,Y,Y,R,O,Y,P,O,O,R,B,G,B,B,G,B,G,G
C,C,C,P,C,Y,P,P,B,O,Y,Y,O,O,Y,P,B,B,O,G,G,R,R,G,R,B,G
C,C,C,P,C,Y,P,P,B,G,Y,Y,O,O,Y,P,B,B,G,G,G,O,R,R,O,B,R
C,C,C,P,C,Y,P,P,B,G,Y,Y,R,O,Y,P,B,B,G,G,G,R,O,O,R,B,O
C,C,C,P,C,Y,P,P,Y,O,B,B,B,B,R,P,Y,Y,O,O,R,G,O,R,G,G,G
C,C,C,P,C,Y,P,P,Y,O,R,R,O,O,R,P,Y,Y,O,B,B,B,B,G,G,G,G
C,C,C,P,C,Y,P,P,Y,O,R,R,O,O,R,P,Y,Y,O,B,G,B,B,G,B,G,G
C,C,C,P,C,Y,P,P,Y,B,O,O,B,O,R,P,Y,Y,G,G,O,B,G,R,B,G,R
C,C,C,P,C,Y,P,P,Y,B,B,O,R,O,O,P,Y,Y,R,B,B,R,O,G,G,G,G
C,C,C,P,C,Y,P,P,Y,B,B,G,O,B,B,P,Y,Y,O,O,G,O,R,G,R,R,G
C,C,C,P,C,Y,P,P,Y,B,R,O,B,O,O,P,Y,Y,R,R,G,B,O,G,B,G,G
C,C,C,P,C,Y,P,P,Y,B,R,G,B,O,O,P,Y,Y,R,R,G,B,O,G,B,O,G
C,C,C,P,C,Y,P,P,Y,B,R,G,B,R,O,P,Y,Y,G,G,G,B,R,O,B,O,O
C,C,C,P,C,Y,P,P,Y,G,O,B,O,O,B,P,Y,Y,G,G,G,O,R,B,R,R,B
C,C,C,P,C,Y,P,P,Y,G,B,B,B,B,O,P,Y,Y,G,G,G,R,R,O,R,O,O
C,C,C,P,C,Y,P,P,Y,G,B,B,B,B,O,P,Y,Y,G,R,R,G,R,O,G,O,O
C,C,C,P,C,Y,P,P,Y,R,R,O,B,B,O,P,Y,Y,R,O,O,G,B,B,G,G,G
C,C,C,P,C,Y,P,P,Y,R,R,B,O,O,B,P,Y,Y,R,G,G,O,G,B,O,G,B
C,C,C,P,C,Y,P,P,Y,R,R,B,R,O,B,P,Y,Y,G,O,O,G,O,B,G,G,B
C,C,C,P,C,Y,P,P,Y,R,R,B,R,O,B,P,Y,Y,G,G,G,G,O,B,O,O,B
C,C,C,P,C,Y,P,P,G,O,Y,Y,O,O,Y,P,R,G,O,B,B,B,B,G,R,R,G
C,C,C,P,C,Y,P,P,G,B,R,O,B,Y,Y,P,Y,G,R,R,O,B,O,O,B,G,G
C,C,C,P,C,Y,P,P,R,O,Y,Y,O,O,Y,P,R,R,O,B,B,B,B,G,G,G,G
C,C,C,P,C,Y,P,P,R,O,Y,Y,O,O,Y,P,R,R,O,B,G,B,B,G,B,G,G
C,C,C,P,C,G,P,P,B,Y,O,O,Y,O,G,P,B,B,Y,Y,O,R,R,G,R,B,G
C,C,C,P,C,G,P,P,B,R,R,Y,O,O,G,P,B,B,R,Y,Y,O,Y,G,O,B,G
C,C,C,P,C,G,P,P,G,O,B,B,O,Y,R,P,Y,G,B,B,R,O,O,R,Y,Y,G
C,C,C,P,C,G,P,P,G,B,R,O,B,Y,Y,P,Y,G,R,R,O,B,O,O,B,Y,G
C,C,C,P,C,G,P,P,G,B,R,Y,B,Y,Y,P,O,G,R,R,Y,B,O,O,B,O,G
C,C,C,P,C,G,P,P,G,Y,B,B,Y,Y,R,P,O,G,B,B,R,O,Y,R,O,O,G
