1,2,5,10
2,4,5,11
1,4,5,14
1,2,4,13
4,11,13,14
5,10,11,14
2,10,11,13
1,10,13,14
1,2,4,13
4,5,10,13
4,10,13,14
1,4,10,11
5,10,11,14
1,2,11,14
2,4,5,11
2,5,13,14
1,2,11,14
1,2,5,10
1,4,10,11
2,10,11,13
4,5,10,13
4,11,13,14
2,5,13,14
1,4,5,14
2,3,6,11
3,5,6,12
2,5,6,15
2,3,5,14
5,12,14,15
6,11,12,15
3,11,12,14
2,11,14,15
2,3,5,14
5,6,11,14
5,11,14,15
2,5,11,12
6,11,12,15
2,3,12,15
3,5,6,12
3,6,14,15
2,3,12,15
2,3,6,11
2,5,11,12
3,11,12,14
5,6,11,14
5,12,14,15
3,6,14,15
2,5,6,15
10,11,14,19
11,13,14,20
10,13,14,23
10,11,13,22
13,20,22,23
14,19,20,23
11,19,20,22
10,19,22,23
10,11,13,22
13,14,19,22
13,19,22,23
10,13,19,20
14,19,20,23
10,11,20,23
11,13,14,20
11,14,22,23
10,11,20,23
10,11,14,19
10,13,19,20
11,19,20,22
13,14,19,22
13,20,22,23
11,14,22,23
10,13,14,23
14,15,18,23
15,17,18,24
14,17,18,27
14,15,17,26
17,24,26,27
18,23,24,27
15,23,24,26
14,23,26,27
14,15,17,26
17,18,23,26
17,23,26,27
14,17,23,24
18,23,24,27
14,15,24,27
15,17,18,24
15,18,26,27
14,15,24,27
14,15,18,23
14,17,23,24
15,23,24,26
17,18,23,26
17,24,26,27
15,18,26,27
14,17,18,27
13,14,17,22
14,16,17,23
13,16,17,26
13,14,16,25
16,23,25,26
17,22,23,26
14,22,23,25
13,22,25,26
13,14,16,25
16,17,22,25
16,22,25,26
13,16,22,23
17,22,23,26
13,14,23,26
14,16,17,23
14,17,25,26
13,14,23,26
13,14,17,22
13,16,22,23
14,22,23,25
16,17,22,25
16,23,25,26
14,17,25,26
13,16,17,26
5,6,9,14
6,8,9,15
5,8,9,18
5,6,8,17
8,15,17,18
9,14,15,18
6,14,15,17
5,14,17,18
5,6,8,17
8,9,14,17
8,14,17,18
5,8,14,15
9,14,15,18
5,6,15,18
6,8,9,15
6,9,17,18
5,6,15,18
5,6,9,14
5,8,14,15
6,14,15,17
8,9,14,17
8,15,17,18
6,9,17,18
5,8,9,18
11,12,15,20
12,14,15,21
11,14,15,24
11,12,14,23
14,21,23,24
15,20,21,24
12,20,21,23
11,20,23,24
11,12,14,23
14,15,20,23
14,20,23,24
11,14,20,21
15,20,21,24
11,12,21,24
12,14,15,21
12,15,23,24
11,12,21,24
11,12,15,20
11,14,20,21
12,20,21,23
14,15,20,23
14,21,23,24
12,15,23,24
11,14,15,24
4,5,8,13
5,7,8,14
4,7,8,17
4,5,7,16
7,14,16,17
8,13,14,17
5,13,14,16
4,13,16,17
4,5,7,16
7,8,13,16
7,13,16,17
4,7,13,14
8,13,14,17
4,5,14,17
5,7,8,14
5,8,16,17
4,5,14,17
4,5,8,13
4,7,13,14
5,13,14,16
7,8,13,16
7,14,16,17
5,8,16,17
4,7,8,17
