1,2,5,125
1,4,5,145
2,3,5,235
3,5,6,356
4,5,7,457
5,6,9,569
5,7,8,578
5,8,9,589
1,2,11,1211
1,4,13,1413
2,3,11,2311
2,5,11,2511
3,6,15,3615
4,5,13,4513
4,7,13,4713
5,6,15,5615
5,8,17,5817
6,9,15,6915
7,8,17,7817
8,9,17,8917
1,10,11,11011
1,10,13,11013
3,11,12,31112
3,12,15,31215
5,11,14,51114
5,13,14,51314
5,14,15,51415
5,14,17,51417
7,13,16,71316
7,16,17,71617
9,15,18,91518
9,17,18,91718
10,11,13,101113
10,11,19,101119
10,13,19,101319
11,12,15,111215
11,12,21,111221
11,13,14,111314
11,14,15,111415
11,14,23,111423
11,19,20,111920
11,20,21,112021
11,20,23,112023
12,15,21,121521
13,14,17,131417
13,14,23,131423
13,16,17,131617
13,16,25,131625
13,19,22,131922
13,22,23,132223
13,22,25,132225
14,15,17,141517
14,15,23,141523
14,17,23,141723
15,17,18,151718
15,18,27,151827
15,21,24,152124
15,23,24,152324
15,24,27,152427
16,17,25,161725
17,18,27,171827
17,23,26,172326
17,23,26,172326
17,26,27,172627
19,20,23,192023
19,22,23,192223
20,21,23,202123
21,23,24,212324
22,23,25,222325
23,24,27,232427
23,25,26,232526
23,26,27,232627
