"3","11","12"
"2","3","11"
"5","6","15"
"5","14","15"
"5","11","14"
"2","5","11"
"3","6","15"
"3","12","15"
"3","5","6"
"2","3","5"
"11","12","15"
"11","14","15"
"11","12","21"
"11","20","21"
"15","23","24"
"14","15","23"
"11","14","23"
"11","20","23"
"15","21","24"
"12","15","21"
"11","12","15"
"11","14","15"
"21","23","24"
"20","21","23"
"15","23","24"
"14","15","23"
"17","18","27"
"17","26","27"
"17","23","26"
"14","17","23"
"15","18","27"
"15","24","27"
"15","17","18"
"14","15","17"
"23","24","27"
"23","26","27"
"5","6","15"
"5","14","15"
"9","17","18"
"8","9","17"
"5","8","17"
"5","14","17"
"9","15","18"
"6","9","15"
"5","6","9"
"5","8","9"
"15","17","18"
"14","15","17"
"11","19","20"
"10","11","19"
"13","14","23"
"13","22","23"
"13","19","22"
"10","13","19"
"11","14","23"
"11","20","23"
"11","13","14"
"10","11","13"
"19","20","23"
"19","22","23"
"13","14","23"
"13","22","23"
"17","25","26"
"16","17","25"
"13","16","25"
"13","22","25"
"17","23","26"
"14","17","23"
"13","14","17"
"13","16","17"
"23","25","26"
"22","23","25"
"1","2","11"
"1","10","11"
"5","13","14"
"4","5","13"
"1","4","13"
"1","10","13"
"5","11","14"
"2","5","11"
"1","2","5"
"1","4","5"
"11","13","14"
"10","11","13"
"5","13","14"
"4","5","13"
"7","8","17"
"7","16","17"
"7","13","16"
"4","7","13"
"5","8","17"
"5","14","17"
"5","7","8"
"4","5","7"
"13","14","17"
"13","16","17"
